kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,399.0,,,,154.64276007525692,,,,,461.0,,2.0,
I,400.0,,,,131.45382638182554,,,,,462.0,,0.0,
I,401.0,,,,33.19104607037029,,,,,463.0,,1.0,
I,402.0,,,,15.878025425956679,,,,,465.0,,0.0,
I,403.0,,,,75.96214463901367,,,,,466.0,,1.0,
I,404.0,,,,121.1001541781871,,,,,467.0,,0.0,
I,405.0,,,,114.30641201331073,,,,,468.0,,3.0,
I,406.0,,,,179.81230841772495,,,,,469.0,,0.0,
I,407.0,,,,94.02250572124018,,,,,470.0,,1.0,
I,408.0,,,,279.286432492004,,,,,471.0,,0.0,
I,409.0,,,,87.78480133823858,,,,,472.0,,1.0,
I,410.0,,,,51.09750678439108,,,,,474.0,,2.0,
I,411.0,,,,186.32897608790523,,,,,475.0,,1.0,
I,412.0,,,,15.431412308271641,,,,,476.0,,2.0,
I,413.0,,,,148.42353930725199,,,,,477.0,,2.0,
I,414.0,,,,45.08472420561498,,,,,478.0,,3.0,
I,415.0,,,,143.8439024929559,,,,,479.0,,5.0,
I,416.0,,,,35.21982601448708,,,,,480.0,,3.0,
I,417.0,,,,98.67651154049753,,,,,482.0,,3.0,
I,418.0,,,,16.318963495784896,,,,,483.0,,2.0,
I,419.0,,,,180.16711841872004,,,,,484.0,,4.0,
I,420.0,,,,74.56233769904634,,,,,485.0,,0.0,
I,421.0,,,,29.49090181912213,,,,,486.0,,0.0,
I,422.0,,,,61.25631320306645,,,,,489.0,,0.0,
I,423.0,,,,142.4548926409449,,,,,490.0,,0.0,
I,424.0,,,,131.39821367845352,,,,,491.0,,2.0,
I,425.0,,,,315.5064590174293,,,,,493.0,,0.0,
I,426.0,,,,44.030923559903066,,,,,494.0,,0.0,
I,427.0,,,,95.70177809041186,,,,,495.0,,1.0,
I,428.0,,,,114.07586802283095,,,,,496.0,,3.0,
I,429.0,,,,255.03905517782667,,,,,497.0,,2.0,
I,430.0,,,,156.26826225910344,,,,,498.0,,1.0,
I,431.0,,,,62.006268180169435,,,,,499.0,,2.0,
I,432.0,,,,22.753896827286912,,,,,500.0,,2.0,
I,433.0,,,,85.52523426759028,,,,,501.0,,2.0,
I,434.0,,,,176.6983573864031,,,,,502.0,,1.0,
I,435.0,,,,39.64848607405831,,,,,504.0,,1.0,
I,436.0,,,,106.41836661720573,,,,,506.0,,1.0,
I,437.0,,,,27.570060499372758,,,,,507.0,,3.0,
I,438.0,,,,58.350808997717174,,,,,508.0,,2.0,
I,439.0,,,,131.86724753244772,,,,,510.0,,2.0,
I,440.0,,,,54.8461627636887,,,,,511.0,,2.0,
I,441.0,,,,11.410322185995499,,,,,512.0,,1.0,
I,442.0,,,,61.423755626438705,,,,,513.0,,2.0,
